batch_size,dropout,epochs,learning_rate,optimizer,units,stop_loss,take_profit,position_size,rmse,mae,r2,mape,final_balance
64,0.3,30,0.001,adam,64,0.02,0.03,1.0,503.1298358575574,421.4267867800188,0.9962499295932705,0.4591537037468879,678.207347176928
16,0.2,10,0.0005,rmsprop,64,0.01,0.07,0.5,761.4111673738927,709.0198980168473,0.9914114912588539,0.7887841774814096,967.5660579083842
16,0.1,10,0.0005,rmsprop,32,0.01,0.03,0.5,837.2131003607934,772.9046939575628,0.9896163196978042,0.8499260778571407,945.1015600859004
64,0.3,30,0.0005,rmsprop,64,0.05,0.03,1.0,338.72746714390746,240.7863090841555,0.9983002693453874,0.27438059841471885,299.5930181348265
16,0.2,20,0.001,rmsprop,32,0.02,0.1,1.0,1025.822973738817,936.982587978423,0.9844107895576468,1.0195670714293341,1002.0795506882864
64,0.2,10,0.001,rmsprop,32,0.05,0.07,0.5,326.445763361875,227.02993259199894,0.9984212936676307,0.2548961191415287,461.8435208928948
16,0.2,20,0.001,rmsprop,64,0.05,0.07,1.0,673.9703344674662,609.9085933596141,0.9932708402328652,0.6680113438738025,971.6836815483167
16,0.2,30,0.0005,adam,64,0.03,0.03,0.5,334.5286418201577,247.9117633829142,0.9983421474857564,0.27015383616064836,466.2911329706708
32,0.2,10,0.001,rmsprop,32,0.02,0.05,0.5,1016.4645973077833,917.6750414338272,0.9846939265941985,0.9970788926436867,991.8066967515127
16,0.1,30,0.0005,adam,32,0.05,0.07,1.0,253.8639938823026,175.37308979505696,0.9990452679670991,0.1994913314077835,160.17286948447443
64,0.3,10,0.001,rmsprop,64,0.02,0.05,1.0,920.5645271856172,842.4089754893656,0.9874458373966799,0.9203678637831549,966.6892988196829
16,0.2,30,0.0005,rmsprop,64,0.01,0.03,0.5,347.44686947612945,263.786869539228,0.9982116353215145,0.29065797373536106,600.524499459728
16,0.3,10,0.0005,rmsprop,64,0.05,0.07,1.0,336.0171731377099,235.98029971027722,0.9983273609747716,0.26623232250058704,252.26628642546476
64,0.1,20,0.0005,adam,32,0.03,0.03,1.0,391.7202190186912,277.69693467521193,0.9977268334592095,0.3086298923652604,325.8955282945762
32,0.2,10,0.0005,adam,64,0.01,0.07,0.5,427.4896718102265,346.4630457410616,0.9972927364826045,0.3852427013925511,792.1191113142365
32,0.1,10,0.0005,adam,64,0.03,0.07,1.0,503.12093966313864,413.0965309269698,0.9962500622073915,0.4525081867900224,719.8773009144501
32,0.2,10,0.001,adam,32,0.01,0.03,1.0,802.8917411947424,699.8710833326664,0.990450222371637,0.7583778703661597,808.9590055110182
32,0.2,20,0.0005,adam,32,0.02,0.03,0.5,310.41007858525404,210.59189039993635,0.9985725828671819,0.23827612630344217,407.9180456336692
64,0.1,20,0.0005,rmsprop,32,0.05,0.05,1.0,467.6537541555566,357.0169055707862,0.9967601259470587,0.3884707001124229,487.81077402034197
32,0.1,30,0.0005,rmsprop,32,0.01,0.07,1.0,425.52525095182483,340.1247538863447,0.997317560407198,0.37354747772341756,605.2160949783145
16,0.1,30,0.0005,adam,64,0.03,0.05,1.0,387.18055432856397,318.24878112066324,0.9977792158346241,0.3468977057384294,719.6174751479371
64,0.2,30,0.0005,adam,32,0.05,0.05,1.0,347.9114068317863,245.90767830633007,0.9982068500283527,0.2800482013914716,292.60612765021136
32,0.2,30,0.001,adam,64,0.03,0.05,1.0,324.3013364019207,240.97513891860325,0.9984419666330158,0.2642624607504522,238.32376663205386
16,0.1,30,0.001,rmsprop,32,0.05,0.1,1.0,333.80830474105494,267.33768574811853,0.998349279472353,0.3003327305492656,684.6914910430271
16,0.2,10,0.001,adam,32,0.01,0.03,1.0,413.9315127609396,336.6322693937669,0.9974617391051717,0.37079066325233234,600.9875218041927
32,0.3,10,0.0005,adam,32,0.05,0.05,0.5,462.64212697951046,336.32486380623425,0.9968291943050486,0.3700327532312634,627.3923483446781
16,0.3,20,0.001,rmsprop,64,0.03,0.1,0.5,399.1712036083679,323.6234301591894,0.9976395343507765,0.3586263209651204,832.7561355440998
16,0.1,20,0.0005,adam,64,0.03,0.07,0.5,467.7938552300518,407.4338353948797,0.9967581844344595,0.44987443525047066,1018.7778203191567
64,0.2,30,0.001,adam,32,0.01,0.05,1.0,521.3000273283682,433.45558853616353,0.9959741761071834,0.4726277043949379,691.2684345814939
32,0.1,10,0.0005,rmsprop,32,0.01,0.07,1.0,408.13951186799716,315.59392343601047,0.9975322761464195,0.3478711622910501,482.8731952539842
